college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
"not enrolled, high school degree",162,1,"other adults, biological parent status unknown, not group quarters",64,True,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 64"
"not enrolled, high school degree",137,3,both biological parents,65,False,"current education status is not enrolled, high school degree, and weight in pounds is 137, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65"
"not enrolled, high school degree",95,3,"biological mother, other parent present",63,False,"current education status is not enrolled, high school degree, and weight in pounds is 95, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 63"
"not enrolled, no high school degree, no GED",115,2,"biological mother, other parent present",65,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 115, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 65"
"enrolled in grades 1-12, not a high school graduate",180,1,"biological mother, marital status unknown",60,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 180, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 60"
"enrolled in grades 1-12, not a high school graduate",160,0,"biological mother, marital status unknown",72,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 160, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, no high school degree, no GED",145,0,"biological mother, marital status unknown",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, GED",162,2,"biological dad, marital status unknown",71,False,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 71"
"not enrolled, no high school degree, no GED",145,3,"other adults, biological parent status unknown, not group quarters",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 66"
"enrolled in grades 1-12, not a high school graduate",112,2,both biological parents,64,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 112, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 64"
"not enrolled, GED",185,2,"biological mother, marital status unknown",67,False,"current education status is not enrolled, GED, and weight in pounds is 185, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, high school degree",215,2,both biological parents,74,False,"current education status is not enrolled, high school degree, and weight in pounds is 215, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 74"
